Year_Built,Propnum,Address,Long,Lat
1840,2027994,"26 Rowe Street, BALLARAT EAST  VIC  3350",143.8662575,-37.55757379
1845,2019148,"410 Learmonth Street, BUNINYONG  VIC  3357",143.8827941,-37.64944482
1848,2004567,"5 Cardigan Street, LAKE WENDOUREE  VIC  3350",143.8470145,-37.54696467
1850,2004085,"101 Scotchmans Lead Road, BUNINYONG  VIC  3357",143.860379,-37.65250423
1850,2034497,"4 Gainer Lane, BUNINYONG  VIC  3357",143.8883228,-37.66533289
1850,2011530,"508-516 Barkly Street, BUNINYONG  VIC  3357",143.8813682,-37.6400607
1853,2037925,"1254A Sunraysia Highway, LEARMONTH  VIC  3352",143.7046351,-37.40509785
1854,2038437,"250 Weighbridge Road, WINDERMERE  VIC  3352",143.7032341,-37.50229102
1855,2037846,"352 Trewins Road, TOURELLO  VIC  3363",143.7665329,-37.35901381
1855,2031217,"320 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8553912,-37.56125515
1855,2031219,"316 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8555335,-37.56127148
1855,2031220,"314 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8555953,-37.56127907
1855,2020904,"114A Lydiard Street North, BALLARAT CENTRAL  VIC  3350",143.8586914,-37.55939534
1856,2030797,"429 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8535101,-37.56192931
1856,2001289,"40A Armstrong Street North, BALLARAT CENTRAL  VIC  3350",143.8570665,-37.56008564
1857,2006924,"307A Dana Street, BALLARAT CENTRAL  VIC  3350",143.854867,-37.56419476
1857,2007411,"416 Dawson Street South, BALLARAT CENTRAL  VIC  3350",143.8510921,-37.57112495
1857,2037359,"2 Glue Pot Road, WINDERMERE  VIC  3352",143.6887819,-37.47648176
1857,2037784,"49 Findlays Road, ADDINGTON  VIC  3352",143.6764013,-37.41286555
1857,2031148,"1008 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8454014,-37.56009058
1857,2031150,"1006 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8455665,-37.56010992
1857,2031151,"1006 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8455665,-37.56010992
1857,2031152,"Rear of 1006 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8455665,-37.56010992
1857,2031153,"1006A Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8455665,-37.56010992
1857,2031171,"702 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8502566,-37.56063164
1858,2034040,"604 Warrenheip Street, BUNINYONG  VIC  3357",143.8833304,-37.65088888
1859,2031194,"436 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8536835,-37.56106882
1859,2031197,"430 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8538258,-37.56109102
1859,2031200,"Floor 1/428 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8539283,-37.56106656
1859,2031202,"428A Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8539283,-37.56106656
1859,2031275,"16 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8602039,-37.56180246
1859,2001225,"608 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8593568,-37.54769272
1860,2002077,"5 Barkly Street, BALLARAT EAST  VIC  3350",143.8702624,-37.5633481
1860,2002082,"17 Barkly Street, BALLARAT EAST  VIC  3350",143.8696246,-37.563831
1860,2002191,"901 Barkly Street, MOUNT PLEASANT  VIC  3350",143.8522683,-37.57829695
1860,2002269,"524 Barkly Street, GOLDEN POINT  VIC  3350",143.8606832,-37.57095886
1860,2002273,"516 Barkly Street, GOLDEN POINT  VIC  3350",143.8614923,-37.57042119
1860,2003786,"103-107 Bridge Mall, BAKERY HILL  VIC  3350",143.8649803,-37.56241188
1860,2001127,"617 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8585079,-37.5472704
1860,2001133,"703 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8589142,-37.54586988
1860,2021764,"223 Mair Street, BALLARAT CENTRAL  VIC  3350",143.8570726,-37.5598847
